"wallet,""total_points"""
"0x8634bd7afc72042d268da2b665d7e038f78e4e72,""163"""
"0x86384100ba2d8082b1d28e2e58e171c275611507,""163"""
"0x864a9490623d79766cbc696abeb265fd8302a21a,""855"""
"0x867bc38431d2c95190bc8f3ccb87752d6a439820,""149"""
"0x867d007f148378341205c797690d1eaefc88a33b,""1581"""
"0x8687db72cbfb153a9614cbf67a20641e22ebf73d,""163"""
"0x868bdcc843fbad5b24d85db8ca113f661c950e2f,""28943"""
"0x869039eee43fbc4000f90fe296907eb269e8b140,""1129"""
"0x869adbdd9d61e1a56556facf3ac44cd887b6dbf2,""186"""
"0x86a23b14d5cc26b388a6089e7b9eac0dd89d656c,""536"""
"0x86ae1fbc55acbe06e2820a10c0322ba4af2d147a,""6636"""
"0x86aef36d31c16da45aa904863c06c9249a41d2c1,""43"""
"0x86b266cfe655e3691a698630eb480f17527da88c,""163"""
"0x86b4ba9327a12c1c632bf6564400a8387bcd03e1,""1978"""
"0x86bcb42695b50b47ecfef7bdd7ce282e4c0cad2c,""10409"""
"0x86c5588072e9c25baae4d5a7c3239baaa1eb40e1,""848"""
"0x86d6ac03d4b0d25b739f8316b8ef4d0a589580ee,""16023"""
"0x86df2e35835fcb7ee3ef45d1ce358dd7f38562ed,""1878"""
"0x86ea6064b3f18060445bae87dfd4ed7504cc7863,""329"""
"0x86fd0e56e1c87b92e4c87a1e664ae2d2d82f0591,""25"""
"0x87146164ef8e7498df8d96931ef6c11703b7eeff,""9109"""
"0x871938cb1ea7b57bfb503d1e09f0ca3cefe630c2,""43"""
"0x871ddb9f7a48eed87ff56d386ead49f338200c4d,""16243"""
"0x872647383bfc982df3b7b7fc9b3f56a7192bc491,""2195"""
"0x8731155e4d69759809f435714a7e33c6caa856f0,""83"""
"0x873b863ce9798c41a5f13487f5b9e0c34b909215,""283"""
"0x87444e330b2645eb722c299b017a9eaecda66942,""29035"""
"0x875c5b753bc9621f898e9387a90817ec680b91ad,""415"""
"0x875e7d05e442fe7abec0ba69cad05f3bad3dc91c,""43"""
"0x875ea5799c6237bd6294e810828a32944048f4fd,""831"""
"0x876b03f4dba870331ad17b45451ea39b63f8b61a,""381"""
"0x876d95da273c292820363b2a631fcca77aa14e0c,""1920"""
"0x8773c2de6ad3f57eea21056c3045cf62390237fe,""163"""
"0x8775ab783976066fafd0766a857be148f62acd8e,""43"""
"0x878491e371b75a4ae30d417674c8de67af756afd,""786"""
